x,y,dist_robot,olf_loglik,olf_post,vis_post,fused,vis_like,observed,mle_class,ev_Cardboard_box,post_Cardboard_box,ev_First_aid_box,post_First_aid_box,ev_Humidifier,post_Humidifier,ev_empty_floor,post_empty_floor
-3.25,1.75,1.44045,-0.515787,0.00633959,0.00240594,0.0033303,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3,1,1.4855,-0.505283,0.00633553,0.00240594,0.00332923,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3,1.25,1.50483,-0.501315,0.00633063,0.00240594,0.00332794,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,2.5,1.49067,-0.504191,0.00631275,0.00240594,0.00332324,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3.25,2,1.58357,-0.488402,0.00630326,0.00240594,0.00332074,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4.5,1.5,0.490818,-1.41008,0.00629464,0.00240594,0.00331847,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-4,1,0.485566,-1.42238,0.00629071,0.00240594,0.00331743,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2,2.25,2.77789,-0.875595,0.0037088,0.00312773,0.00331141,0.0179758,True,empty floor,0,0.025,0,0.025,0,0.025,9,0.925
-2.75,1,1.7355,-0.477689,0.00624462,0.00240594,0.00330526,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.75,1.25,1.75207,-0.477619,0.00623206,0.00240594,0.00330193,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3,2,1.78548,-0.478122,0.00619883,0.00240594,0.00329312,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.75,1.5,1.80349,-0.478749,0.00619288,0.00240594,0.00329154,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-3,2.25,1.93539,-0.490865,0.0060489,0.00240594,0.00325305,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.5,1.25,2,-0.501587,0.0059869,0.00240594,0.00323633,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-1.25,0.25,3.3234,-1.40901,0.00173306,0.00446818,0.00323373,0.0256798,True,empty floor,0,0.0357143,0,0.0357143,0,0.0357143,6,0.892857
-2.75,2,1.99829,-0.501263,0.00597286,0.00240594,0.00323254,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.75,2.25,2.1333,-0.533573,0.00573774,0.00240594,0.00316827,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
-2.25,1,2.23549,-0.567071,0.0055548,0.00240594,0.00311736,0.0138276,True,empty floor,0,0.0192308,0,0.0192308,0,0.0192308,12,0.942308
